"","Date_time","Longitude_NTU","Latitude_NTU","Date","Time","Longitude","Latitude"
"516","2018-01-07 12:43:20","11619.73698","4004.18228","2018-01-07","12:43:20",116.337138333333,40.07173
"517","2018-01-07 12:43:25","11619.73732","4004.18235","2018-01-07","12:43:25",116.337147777778,40.0717319444444
"518","2018-01-07 12:43:30","11619.7372","4004.18225","2018-01-07","12:43:30",116.337144444444,40.0717291666667
"519","2018-01-07 12:43:35","11619.73724","4004.18237","2018-01-07","12:43:35",116.337145555556,40.0717325
"520","2018-01-07 12:43:40","11619.73717","4004.18236","2018-01-07","12:43:40",116.337143611111,40.0717322222222
"521","2018-01-07 12:43:45","11619.73737","4004.18234","2018-01-07","12:43:45",116.337149166667,40.0717316666667
"522","2018-01-07 12:43:50","11619.73754","4004.1822","2018-01-07","12:43:50",116.337153888889,40.0717277777778
"523","2018-01-07 12:43:55","11619.73778","4004.18207","2018-01-07","12:43:55",116.337160555556,40.0717241666667
"524","2018-01-07 12:44:00","11619.73789","4004.18198","2018-01-07","12:44:00",116.337163611111,40.0717216666667
"525","2018-01-07 12:44:05","11619.73796","4004.18184","2018-01-07","12:44:05",116.337165555556,40.0717177777778
"526","2018-01-07 12:44:10","11619.73792","4004.18201","2018-01-07","12:44:10",116.337164444444,40.0717225
"527","2018-01-07 12:44:15","11619.73811","4004.18242","2018-01-07","12:44:15",116.337169722222,40.0717338888889
"528","2018-01-07 12:44:20","11619.73815","4004.18265","2018-01-07","12:44:20",116.337170833333,40.0717402777778
"529","2018-01-07 12:44:25","11619.73896","4004.18291","2018-01-07","12:44:25",116.337193333333,40.0717475
"530","2018-01-07 12:44:30","11619.73904","4004.18288","2018-01-07","12:44:30",116.337195555556,40.0717466666667
"531","2018-01-07 12:44:35","11619.73916","4004.18256","2018-01-07","12:44:35",116.337198888889,40.0717377777778
"532","2018-01-07 12:44:40","11619.73924","4004.18235","2018-01-07","12:44:40",116.337201111111,40.0717319444444
"533","2018-01-07 12:44:45","11619.73945","4004.1823","2018-01-07","12:44:45",116.337206944444,40.0717305555556
"534","2018-01-07 12:44:50","11619.73951","4004.18271","2018-01-07","12:44:50",116.337208611111,40.0717419444444
"535","2018-01-07 12:44:55","11619.73972","4004.18307","2018-01-07","12:44:55",116.337214444444,40.0717519444445
"536","2018-01-07 12:45:00","11619.73965","4004.18335","2018-01-07","12:45:00",116.3372125,40.0717597222222
"537","2018-01-07 12:45:05","11619.73967","4004.18345","2018-01-07","12:45:05",116.337213055556,40.0717625
"538","2018-01-07 12:45:10","11619.73983","4004.18359","2018-01-07","12:45:10",116.3372175,40.0717663888889
"539","2018-01-07 12:45:15","11619.73979","4004.18367","2018-01-07","12:45:15",116.337216388889,40.0717686111111
"540","2018-01-07 12:45:20","11619.7396","4004.18368","2018-01-07","12:45:20",116.337211111111,40.0717688888889
"541","2018-01-07 12:45:25","11619.73932","4004.18387","2018-01-07","12:45:25",116.337203333333,40.0717741666667
"542","2018-01-07 12:45:30","11619.7389","4004.18341","2018-01-07","12:45:30",116.337191666667,40.0717613888889
"543","2018-01-07 12:45:35","11619.73846","4004.18353","2018-01-07","12:45:35",116.337179444444,40.0717647222222
"544","2018-01-07 12:45:40","11619.7388","4004.18375","2018-01-07","12:45:40",116.337188888889,40.0717708333333
"545","2018-01-07 12:45:45","11619.73932","4004.18416","2018-01-07","12:45:45",116.337203333333,40.0717822222222
"546","2018-01-07 12:45:50","11619.73965","4004.18419","2018-01-07","12:45:50",116.3372125,40.0717830555556
"547","2018-01-07 12:45:55","11619.74049","4004.18499","2018-01-07","12:45:55",116.337235833333,40.0718052777778
"548","2018-01-07 12:46:00","11619.74079","4004.18533","2018-01-07","12:46:00",116.337244166667,40.0718147222222
"549","2018-01-07 12:46:05","11619.74044","4004.18518","2018-01-07","12:46:05",116.337234444444,40.0718105555556
"550","2018-01-07 12:46:10","11619.74006","4004.18497","2018-01-07","12:46:10",116.337223888889,40.0718047222222
"551","2018-01-07 12:46:15","11619.74005","4004.18489","2018-01-07","12:46:15",116.337223611111,40.0718025
"552","2018-01-07 12:46:20","11619.73984","4004.18475","2018-01-07","12:46:20",116.337217777778,40.0717986111111
"553","2018-01-07 12:46:25","11619.73903","4004.1841","2018-01-07","12:46:25",116.337195277778,40.0717805555555
